,first_output_size,second_output_size,final_hidden_size,batch_size,epoch_num,train_accuracy,accuracy_except_0_and_1000,first_number_accuracy,second_number_accuracy
0,256,32,256,32,10,57.49,60.1,9.03,51.07
0,256,32,256,32,15,64.05,59.66,8.38,51.27
0,256,32,256,32,20,68.53,58.86,8.26,50.59
0,256,32,256,32,25,71.23,58.47,8.55,49.92
0,256,32,256,32,30,72.9,58.02,8.43,49.59
0,256,32,256,64,10,48.71,56.79,8.89,47.89
0,256,32,256,64,15,52.01,58.42,9.43,48.99
0,256,32,256,64,20,55.81,58.6,9.2,49.4
0,256,32,256,64,25,59.9,58.42,8.64,49.78
0,256,32,256,64,30,63.82,58.2,8.68,49.51
0,256,32,256,128,10,49.73,57.36,8.71,48.65
0,256,32,256,128,15,55.63,58.38,8.66,49.73
0,256,32,256,128,20,63.05,58.71,8.6,50.12
0,256,32,256,128,25,69.09,57.9,8.16,49.74
0,256,32,256,128,30,72.93,57.41,8.23,49.18
0,256,32,512,32,10,58.39,61.46,9.63,51.83
0,256,32,512,32,15,64.89,61.58,9.03,52.55
0,256,32,512,32,20,70.24,61.04,9.03,52.01
0,256,32,512,32,25,73.95,60.47,8.78,51.69
0,256,32,512,32,30,76.17,60.36,8.94,51.42
0,256,32,512,64,10,60.13,61.19,9.21,51.98
0,256,32,512,64,15,69.92,61.03,9.35,51.68
0,256,32,512,64,20,76.31,60.41,8.64,51.77
0,256,32,512,64,25,79.63,60.0,8.84,51.16
0,256,32,512,64,30,81.53,59.57,8.56,51.01
0,256,32,512,128,10,57.93,59.77,8.98,50.79
0,256,32,512,128,15,68.46,59.45,9.11,50.33
0,256,32,512,128,20,74.95,58.49,8.45,50.05
0,256,32,512,128,25,78.4,58.46,8.61,49.85
0,256,32,512,128,30,80.48,58.48,8.67,49.81
0,512,8,128,32,10,52.01,56.58,8.43,48.15
0,512,8,128,32,15,57.93,56.03,8.12,47.9
0,512,8,128,32,20,62.34,55.4,7.99,47.41
0,512,8,128,32,25,65.0,54.83,7.87,46.97
0,512,8,128,32,30,66.53,54.59,7.77,46.83
0,512,8,128,64,10,55.08,56.09,7.91,48.18
0,512,8,128,64,15,62.6,55.19,7.65,47.54
0,512,8,128,64,20,66.84,55.21,8.02,47.19
0,512,8,128,64,25,69.13,54.36,7.26,47.1
